Bo'lim,Yaponcha,O'qilishi (kana),Romaji,O'zbekcha tarjima,English (manba),Misol gap
N2 語彙 (文字・語彙・文法),自習,じしゅう,jishuu,mustaqil o'qish,,放課後は図書館で自習をします。 (Darsdan keyin kutubxonada mustaqil dars qilaman.)
N2 語彙 (文字・語彙・文法),適度,てきど,tekido,"me'yorida, o'rtacha",,健康のためには適度な運動が大切です。 (Salomatlik uchun me'yoridagi harakat juda muhim.)
N2 語彙 (文字・語彙・文法),法則,ほうそく,housoku,"qonun, qoida",,自然界の法則を科学的に学びます。 (Tabiat qonun-qoidalarini ilmiy jihatdan o'rganamiz.)
N2 語彙 (文字・語彙・文法),用途,ようと,youto,foydalanish maqsadi,,この道具には様々な用途があります。 (Ushbu asbobning turli xil foydalanish maqsadlari bor.)
N2 語彙 (文字・語彙・文法),見当,けんとう,kentou,"taxmin, chamalash",,犯人の居場所について見当がつかない。 (Jinoyatchining qayerdaligi haqida hech qanday taxmin yo'q.)
N2 語彙 (文字・語彙・文法),作業,さぎょう,sagyou,"ish, amaliy ish",,パソコンを使ったデータ入力の作業を行います。 (Kompyuter yordamida ma'lumot kiritish ishini bajaramiz.)
N2 語彙 (文字・語彙・文法),旅行,りょこう,ryokou,sayohat,,連休を利用して京都へ旅行に行きました。 (Qisqa ta'tildan foydalanib Kiotoga sayohatga bordim.)
N2 語彙 (文字・語彙・文法),本当,ほんとう,hontou,"haqiqat, rost",,彼の言った話は本当のことでした。 (U aytgan gap haqiqat edi.)
N2 語彙 (文字・語彙・文法),格別,かくべつ,kakubetsu,"alohida, betakror",,山頂で飲む温かいお茶は格別の味です。 (Tog' cho'qqisida ichilgan issiq choy o'zgacha bir betakror ta'mga ega.)
N2 語彙 (文字・語彙・文法),高級,こうきゅう,koukyuu,"yuqori sifatli, hashamatli",,"デパートで高級な腕時計を買いました。 (Universamdan qimmatbaho, hashamatli qo'l soati sotib oldim.)"
N2 語彙 (文字・語彙・文法),上等,じょうとう,joutou,a'lo sifatli,,この布地はとても上等で肌触りが良い。 (Ushbu mato a'lo sifatli va ushlab ko'rishga yoqimli.)
N2 語彙 (文字・語彙・文法),契機,けいき,keiki,"turtki, boshlanish sababi",,留学を契機に、世界に対する見方が変わった。 (Chet elda o'qish turtkisi bilan dunyoga qarashim o'zgardi.)
N2 語彙 (文字・語彙・文法),以来,いらい,irai,...dan buyon,,卒業して以来、彼とは一度も会っていない。 (O'qishni bitirganimizdan buyon u bilan biror marta ham ko'rishmadim.)
N2 語彙 (文字・語彙・文法),奇妙,きみょう,kimyou,"g'alati, ajib",,昨日の夜、外から奇妙な音が聞こえました。 (Kecha tunda tashqaridan g'alati ovoz eshitildi.)
N2 語彙 (文字・語彙・文法),新鮮,しんせん,shinsen',"yangi, toza",,"市場で新鮮な魚と野菜を買いました。 (Bozordan yangi, barra baliq va sabzavotlar sotib oldim.)"
N2 語彙 (文字・語彙・文法),秘密,ひみつ,himitsu,"sir, maxfiy",,"この話は誰にも言わないで、秘密にしてください。 (Bu gapni hech kimga aytmang, sir saqlang.)"
N2 語彙 (文字・語彙・文法),例外,れいがい,reigai,istisno,,規則には常にいくつかの例外が存在します。 (Qoidalarda doimo bir nechta istisnolar mavjud bo'ladi.)
N2 語彙 (文字・語彙・文法),不適当,ふてきとう,futekitou,"nomunosib, o'rinsiz",,公式な場には不適当な服装です。 (Rasmiy marosim uchun nomunosib kiyim.)
N2 語彙 (文字・語彙・文法),不安定,ふあんてい,fuantei,"beqaror, noturg'un",,"景気が悪く、雇用の状態が不安定です。 (Iqtisodiyot yomonlashib, bandlik holati beqaror bo'lib qoldi.)"
N2 語彙 (文字・語彙・文法),不都合,ふつごう,futsugou,"noqulaylik, to'sqinlik",,急な用事で不都合が生じました。 (Kutilmagan ish sababli noqulaylik yuzaga keldi.)
N2 語彙 (文字・語彙・文法),不愉快,ふゆかい,fuyukai,"yoqimsiz, noxush",,失礼な態度をとられて不愉快でした。 (Qo'pol muomala qilingani sababli noxush tuyg'u paydo bo'ldi.)
N2 語彙 (文字・語彙・文法),間違い,まちがい,machigai,"xato, adashish",,計算に明らかな間違いがありました。 (Hisob-kitobda yaqqol xatolik bor edi.)
N2 語彙 (文字・語彙・文法),失格,しっかく,shikkaku,"munosib emas, diskvalifikatsiya",,時間内に提出できず、失格となりました。 (Vaqtida topshira olmagani sababli diskvalifikatsiya qilindi.)
N2 語彙 (文字・語彙・文法),強引,ごういん,gouin',"zo'rlab, kuch ishlatib",,強引についての詳しい説明を聞きました。 (zo'rlab haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),編集,へんしゅう,henshuu,tahrirlash,,編集についての詳しい説明を聞きました。 (tahrirlash haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),表現,ひょうげん,hyougen',"ifoda, bayon",,表現についての詳しい説明を聞きました。 (ifoda haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),印刷,いんさつ,insatsu,chop etish,,計画通りに印刷を進めていきます。 (Rejaga muvofiq chop etishni davom ettiramiz.)
N2 語彙 (文字・語彙・文法),一杯,いっぱい,ippai,to'la; bir piyola,,一杯についての詳しい説明を聞きました。 (to'la haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),限界,げんかい,genkai,"chegara, had",,限界についての詳しい説明を聞きました。 (chegara haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),満員,まんいん,man'in',to'la (odam bilan),,満員としての責任を持って行動します。 (to'la sifatidagi mas'uliyat bilan harakat qilamiz.)
N2 語彙 (文字・語彙・文法),超過,ちょうか,chouka,oshib ketish,,計画通りに超過を進めていきます。 (Rejaga muvofiq oshib ketishni davom ettiramiz.)
N2 語彙 (文字・語彙・文法),満足,まんぞく,manzoku,"qoniqish, rozilik",,満足についての詳しい説明を聞きました。 (qoniqish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),無事,ぶじ,buji,eson-omon,,無事についての詳しい説明を聞きました。 (eson-omon haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),冷静,れいせい,reisei,"sovuqqonlik, xotirjam",,冷静についての詳しい説明を聞きました。 (sovuqqonlik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),計算,けいさん,keisan',hisob-kitob,,計算についての詳しい説明を聞きました。 (hisob-kitob haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),費用,ひよう,hiyou,xarajat,,費用についての詳しい説明を聞きました。 (xarajat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),金額,きんがく,kingaku,"summa, pul miqdori",,金額についての詳しい説明を聞きました。 (summa haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),非情,ひじょう,hijou,"shafqatsiz, berahm",,非情についての詳しい説明を聞きました。 (shafqatsiz haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),残念,ざんねん,zannen',"afsus, achinarli",,残念についての詳しい説明を聞きました。 (afsus haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),不足,ふそく,fusoku,"yetishmaslik, kamchilik",,計画通りに不足を進めていきます。 (Rejaga muvofiq yetishmaslikni davom ettiramiz.)
N2 語彙 (文字・語彙・文法),日常,にちじょう,nichijou,kundalik hayot,,日常についての詳しい説明を聞きました。 (kundalik hayot haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),平凡,へいぼん,heibon',"oddiy, ko'rimsiz",,平凡についての詳しい説明を聞きました。 (oddiy haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),自由,じゆう,jiyuu,"erkinlik, ozodlik",,自由についての詳しい説明を聞きました。 (erkinlik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),平常,へいじょう,heijou,odatdagi holat,,平常についての詳しい説明を聞きました。 (odatdagi holat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),普通,ふつう,futsuu,"oddiy, o'rtacha",,普通についての詳しい説明を聞きました。 (oddiy haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),平和,へいわ,heiwa,"tinchlik, osoyishtalik",,平和についての詳しい説明を聞きました。 (tinchlik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),食事,しょくじ,shokuji,"ovqat, taom",,食事についての詳しい説明を聞きました。 (ovqat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),栄養,えいよう,eiyou,"ozuqa, oziqlanish",,栄養についての詳しい説明を聞きました。 (ozuqa haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),生活,せいかつ,seikatsu,"hayot, turmush",,生活についての詳しい説明を聞きました。 (hayot haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),問題,もんだい,mondai,"muammo, masala",,問題を未然に防ぐ対策を立てました。 (muammoning oldini olish choralarini tuzdik.)
N2 語彙 (文字・語彙・文法),自転車,じてんしゃ,jitensha,velosiped,,自転車についての詳しい説明を聞きました。 (velosiped haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),親友,しんゆう,shin'yuu,yaqin do'st,,親友についての詳しい説明を聞きました。 (yaqin do'st haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),家族,かぞく,kazoku,oila,,家族についての詳しい説明を聞きました。 (oila haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),助手,じょしゅ,joshu,yordamchi,,助手についての詳しい説明を聞きました。 (yordamchi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),仲間,なかま,nakama,"o'rtoq, hamkor",,仲間についての詳しい説明を聞きました。 (o'rtoq haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),各自,かくじ,kakuji,har kim o'zicha,,各自についての詳しい説明を聞きました。 (har kim o'zicha haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),自分,じぶん,jibun',"o'zi, o'zim",,自分についての詳しい説明を聞きました。 (o'zi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),独自,どくじ,dokuji,"o'ziga xos, mustaqil",,独自についての詳しい説明を聞きました。 (o'ziga xos haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),次第,しだい,shidai,"sharoitga qarab, ...ga bog'liq",,次第についての詳しい説明を聞きました。 (sharoitga qarab haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),以上,いじょう,ijou,...dan ortiq; yuqoridagilar,,以上についての詳しい説明を聞きました。 (...dan ortiq haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),一方,いっぽう,ippou,bir tomondan; bir tomon,,一方についての詳しい説明を聞きました。 (bir tomondan haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),禁止,きんし,kinshi,taqiqlash,,禁止についての詳しい説明を聞きました。 (taqiqlash haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),停止,ていし,teishi,"to'xtatish, to'xtash",,停止についての詳しい説明を聞きました。 (to'xtatish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),原因,げんいん,gen'in',"sabab, sababchi",,原因についての詳しい説明を聞きました。 (sabab haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),必要,ひつよう,hitsuyou,"kerak, zarur",,必要についての詳しい説明を聞きました。 (kerak haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),最中,さいちゅう,saichuu,"ayni paytda, ...paytida",,最中についての詳しい説明を聞きました。 (ayni paytda haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),発見,はっけん,hakken',"kashf etish, topib olish",,計画通りに発見を進めていきます。 (Rejaga muvofiq kashf etishni davom ettiramiz.)
N2 語彙 (文字・語彙・文法),結局,けっきょく,kekkyoku,"oxir-oqibat, natijada",,結局についての詳しい説明を聞きました。 (oxir-oqibat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),行動,こうどう,koudou,xatti-harakat,,行動についての詳しい説明を聞きました。 (xatti-harakat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),人口,じんこう,jinkou,aholi,,人口についての詳しい説明を聞きました。 (aholi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),余分,よぶん,yobun',"ortiqcha, ziyoda",,余分についての詳しい説明を聞きました。 (ortiqcha haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),修理,しゅうり,shuuri,ta'mirlash,,修理についての詳しい説明を聞きました。 (ta'mirlash haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),利益,りえき,rieki,"foyda, daromad",,技術の利益によって生活が便利になりました。 (Texnologiyaning foydai tufayli hayot qulaylashdi.)
N2 語彙 (文字・語彙・文法),困難,こんなん,konnan',"qiyinchilik, mashaqqat",,困難についての詳しい説明を聞きました。 (qiyinchilik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),土地,とち,tochi,"yer, hudud",,その土地の環境はとても快適です。 (Ushbu yerning muhiti juda qulay.)
N2 語彙 (文字・語彙・文法),処理,しょり,shori,"qayta ishlash, hal qilish",,計画通りに処理を進めていきます。 (Rejaga muvofiq qayta ishlashni davom ettiramiz.)
N2 語彙 (文字・語彙・文法),多少,たしょう,tashou,"ozgina, biroz",,多少についての詳しい説明を聞きました。 (ozgina haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),学術,がくじゅつ,gakujutsu,"ilmiy, akademik",,学術についての詳しい説明を聞きました。 (ilmiy haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),実物,じつぶつ,jitsubutsu,"asl narsa, haqiqiy buyum",,実物についての詳しい説明を聞きました。 (asl narsa haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),実際,じっさい,jissai,"aslida, amalda",,実際についての詳しい説明を聞きました。 (aslida haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),工業,こうぎょう,kougyou,sanoat,,工業についての詳しい説明を聞きました。 (sanoat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),平行,へいこう,heikou,"parallel, yonma-yon",,平行についての詳しい説明を聞きました。 (parallel haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),建築,けんちく,kenchiku,"qurilish, me'morlik",,建築についての詳しい説明を聞きました。 (qurilish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),引退,いんたい,intai,"nafaqaga chiqish, faoliyatni tugatish",,引退についての詳しい説明を聞きました。 (nafaqaga chiqish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),損害,そんがい,songai,"zarar, ziyon",,損害を未然に防ぐ対策を立てました。 (zararning oldini olish choralarini tuzdik.)
N2 語彙 (文字・語彙・文法),整理,せいり,seiri,tartibga solish,,社会の整理をしっかりと守ります。 (Jamiyatning tartibga solishiga qat'iy amal qilamiz.)
N2 語彙 (文字・語彙・文法),方向,ほうこう,houkou,"yo'nalish, tomon",,方向についての詳しい説明を聞きました。 (yo'nalish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),方法,ほうほう,houhou,"usul, yo'l",,方法についての詳しい説明を聞きました。 (usul haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),方面,ほうめん,houmen',"soha, jihat, tomon",,方面についての詳しい説明を聞きました。 (soha haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),早速,さっそく,sassoku,"darhol, tezda",,早速についての詳しい説明を聞きました。 (darhol haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),材木,ざいもく,zaimoku,yog'och material,,材木についての詳しい説明を聞きました。 (yog'och material haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),検査,けんさ,kensa,tekshiruv,,検査についての詳しい説明を聞きました。 (tekshiruv haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),気味,きみ,kimi,"...ga moyil, sal ...",,気味についての詳しい説明を聞きました。 (...ga moyil haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),水平,すいへい,suihei,"gorizontal, tekis",,水平についての詳しい説明を聞きました。 (gorizontal haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),注文,ちゅうもん,chuumon',buyurtma,,注文についての詳しい説明を聞きました。 (buyurtma haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),測定,そくてい,sokutei,o'lchash,,測定についての詳しい説明を聞きました。 (o'lchash haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),火事,かじ,kaji,yong'in,,火事についての詳しい説明を聞きました。 (yong'in haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),特色,とくしょく,tokushoku,o'ziga xos xususiyat,,特色についての詳しい説明を聞きました。 (o'ziga xos xususiyat haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),用意,ようい,youi,"tayyorgarlik, tayyorlash",,用意についての詳しい説明を聞きました。 (tayyorgarlik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),営業,えいぎょう,eigyou,savdo-tijorat faoliyati,,営業についての詳しい説明を聞きました。 (savdo-tijorat faoliyati haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),相当,そうとう,soutou,"ancha, salmoqli; mos",,計画通りに相当を進めていきます。 (Rejaga muvofiq anchani davom ettiramiz.)
N2 語彙 (文字・語彙・文法),相違,そうい,soui,"farq, tafovut",,相違についての詳しい説明を聞きました。 (farq haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),研究,けんきゅう,kenkyuu,tadqiqot,,研究についての詳しい説明を聞きました。 (tadqiqot haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),窓口,まどぐち,madoguchi,"qabul oynasi, kassa",,窓口についての詳しい説明を聞きました。 (qabul oynasi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),絶対,ぜったい,zettai,"mutlaqo, aslo",,絶対についての詳しい説明を聞きました。 (mutlaqo haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),職業,しょくぎょう,shokugyou,"kasb, hunar",,職業についての詳しい説明を聞きました。 (kasb haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),苦心,くしん,kushin',"zahmat chekish, astoydil mehnat",,苦心についての詳しい説明を聞きました。 (zahmat chekish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),行事,ぎょうじ,gyouji,"tadbir, marosim",,行事についての詳しい説明を聞きました。 (tadbir haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),表記,ひょうき,hyouki,"yozilish shakli, ifodalanish",,表記についての詳しい説明を聞きました。 (yozilish shakli haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),角度,かくど,kakudo,burchak,,角度についての詳しい説明を聞きました。 (burchak haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),言語,げんご,gengo,til (tizim sifatida),,言語についての詳しい説明を聞きました。 (til haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),計画,けいかく,keikaku,"reja, loyiha",,計画についての詳しい説明を聞きました。 (reja haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),訓練,くんれん,kunren',"mashq, tayyorgarlik",,訓練についての詳しい説明を聞きました。 (mashq haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),警告,けいこく,keikoku,ogohlantirish,,警告についての詳しい説明を聞きました。 (ogohlantirish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),資本,しほん,shihon',"kapital, sarmoya",,資本についての詳しい説明を聞きました。 (kapital haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),追加,ついか,tsuika,"qo'shish, qo'shimcha",,追加についての詳しい説明を聞きました。 (qo'shish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),都合,つごう,tsugou,"sharoit, qulay payt",,都合についての詳しい説明を聞きました。 (sharoit haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),防止,ぼうし,boushi,oldini olish,,防止についての詳しい説明を聞きました。 (oldini olish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),音楽,おんがく,ongaku,musiqa,,音楽についての詳しい説明を聞きました。 (musiqa haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),一層,いっそう,issou,"yanada, bundan ham",,一層についての詳しい説明を聞きました。 (yanada haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),一流,いちりゅう,ichiryuu,"birinchi darajali, yetakchi",,一流についての詳しい説明を聞きました。 (birinchi darajali haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),一番,いちばん,ichiban',eng; birinchi,,一番についての詳しい説明を聞きました。 (eng haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),一緒,いっしょ,issho,"birga, birgalikda",,一緒についての詳しい説明を聞きました。 (birga haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),一軒,いっけん,ikken',bitta uy,,一軒についての詳しい説明を聞きました。 (bitta uy haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),一部,いちぶ,ichibu,bir qismi,,一部についての詳しい説明を聞きました。 (bir qismi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),万人,ばんにん,bannin',"hamma, barcha",,万人についての詳しい説明を聞きました。 (hamma haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),上手,じょうず,jouzu,"epchil, mohir",,上手についての詳しい説明を聞きました。 (epchil haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),上空,じょうくう,joukuu,"osmon, yuqori havo",,上空についての詳しい説明を聞きました。 (osmon haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),上達,じょうたつ,joutatsu,mahorat oshishi,,上達についての詳しい説明を聞きました。 (mahorat oshishi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),下車,げしゃ,gesha,transportdan tushish,,下車についての詳しい説明を聞きました。 (transportdan tushish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),不平,ふへい,fuhei,"norozi, shikoyat",,不平についての詳しい説明を聞きました。 (norozi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),不運,ふうん,fuun',"omadsizlik, baxtsizlik",,不運についての詳しい説明を聞きました。 (omadsizlik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),世話,せわ,sewa,"g'amxo'rlik, parvarish",,世話についての詳しい説明を聞きました。 (g'amxo'rlik haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),中心,ちゅうしん,chuushin',markaz,,中心についての詳しい説明を聞きました。 (markaz haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),中止,ちゅうし,chuushi,"to'xtatish, bekor qilish",,計画通りに中止を進めていきます。 (Rejaga muvofiq to'xtatishni davom ettiramiz.)
N2 語彙 (文字・語彙・文法),主人,しゅじん,shujin',xo'jayin; uy egasi; er,,主人についての詳しい説明を聞きました。 (xo'jayin haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),主要,しゅよう,shuyou,"asosiy, muhim",,主要についての詳しい説明を聞きました。 (asosiy haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),乗客,じょうきゃく,joukyaku,yo'lovchi,,乗客についての詳しい説明を聞きました。 (yo'lovchi haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),乗車,じょうしゃ,jousha,transportga chiqish,,乗車についての詳しい説明を聞きました。 (transportga chiqish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),乾季,かんき,kanki,qurg'oqchil mavsum,,乾季についての詳しい説明を聞きました。 (qurg'oqchil mavsum haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),予定,よてい,yotei,"reja, jadval",,予定についての詳しい説明を聞きました。 (reja haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),予想,よそう,yosou,"prognoz, taxmin",,予想についての詳しい説明を聞きました。 (prognoz haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),予算,よさん,yosan',byudjet,,予算についての詳しい説明を聞きました。 (byudjet haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),予習,よしゅう,yoshuu,darsga oldindan tayyorlanish,,予習についての詳しい説明を聞きました。 (darsga oldindan tayyorlanish haqida batafsil tushuntirish eshitdik.)
N2 語彙 (文字・語彙・文法),予防,よぼう,yobou,oldini olish (kasallik),,予防についての詳しい説明を聞きました。 (oldini olish haqida batafsil tushuntirish eshitdik.)
